building_id,location_rating_MIKRAT_W,location_rating_IMAGE_W,location_rating_FZ_W,location_rating_DL_W,location_rating_NASE_W_DOM,location_rating_FGFRQZ
1162,3.7,4.0,4.0,2.0,9.0,1.0
2379,3.1,2.2,3.0,1.0,,1.0
3306,3.4,3.1,3.9,1.0,9.0,1.0
2072,3.9,3.0,4.0,5.0,3.0,4.0
1786,3.4,4.0,3.0,1.0,6.0,1.0
2878,2.5,1.2,3.9,4.0,6.0,1.0
2299,2.6,1.2,3.0,3.0,3.0,1.0
2034,3.2,1.2,3.1,2.0,3.0,1.0
3051,3.0,1.2,4.0,2.0,5.0,1.0
2447,3.6,3.0,3.1,2.9,4.0,1.0
4854,3.8,4.0,3.0,3.0,9.0,2.0
1858,3.9,4.0,2.9,4.0,9.0,1.0
1286,3.8,4.0,4.9,5.0,9.0,4.0
18014,3.2,4.0,4.9,4.0,9.0,1.0
17149,2.8,1.2,4.0,3.0,1.0,1.0
1369,3.3,3.0,3.9,2.0,3.0,1.0
3418,3.8,4.1,5.0,4.9,8.0,1.0
3363,4.2,4.0,4.9,5.0,9.0,5.0
7075,2.2,1.2,4.0,1.9,8.0,1.0
256,2.8,1.2,4.0,2.0,2.0,1.0
18326,3.4,4.0,4.1,4.1,9.0,2.0
537,3.6,3.0,4.0,3.0,4.0,1.0
3167,3.6,3.9,3.0,4.0,6.0,1.0
18212,4.6,5.0,4.0,1.9,9.0,1.0
1098,3.5,4.0,3.1,4.0,9.0,1.0
1798,3.5,4.0,3.0,2.0,7.0,1.0
6535,3.5,3.0,3.0,4.0,4.0,1.0
17154,2.9,1.2,4.0,3.9,1.0,1.0
799,3.0,3.0,4.9,4.0,9.0,2.0
1525,4.2,4.0,4.9,5.0,9.0,5.0
15205,3.2,4.0,1.9,4.0,9.0,1.0
4870,3.9,4.0,2.0,4.0,9.0,1.0
2388,3.3,1.2,4.0,3.0,1.0,3.0
1705,2.5,1.2,3.0,2.0,,1.0
1651,4.4,4.1,4.0,5.0,9.0,1.0
7307,3.0,1.2,1.1,3.1,3.0,1.0
3392,3.8,4.0,4.0,2.0,8.0,1.0
2904,3.4,3.1,3.0,5.0,9.0,4.0
2143,3.4,3.0,3.1,2.0,4.0,1.0
16536,3.3,3.9,1.0,2.0,9.0,1.0
1523,3.2,2.9,4.0,2.9,6.0,1.0
5214,2.5,1.2,1.1,4.0,1.0,1.0
3314,3.5,3.0,4.0,4.0,4.0,1.0
2460,3.5,3.9,3.1,4.0,6.0,1.0
1958,2.8,1.2,4.0,3.0,8.0,1.0
579,2.7,1.2,4.0,2.1,5.0,1.0
6866,3.4,3.9,4.0,2.1,9.0,1.0
2180,4.2,2.9,4.0,5.0,6.0,1.0
2842,4.1,4.1,5.0,5.0,8.0,5.0
1732,3.2,1.2,4.0,5.0,3.0,1.0
2065,3.4,3.0,4.0,3.1,9.0,1.0
6580,3.9,4.0,2.1,3.0,9.0,2.0
1842,3.2,2.9,3.0,3.0,9.0,1.0
118,3.7,3.0,4.9,4.9,4.0,1.0
5884,4.0,4.0,2.0,5.0,9.0,1.0
1379,3.4,3.1,4.0,1.9,9.0,1.0
17050,3.4,1.2,4.0,4.0,1.0,1.0
2500,2.9,3.0,3.9,1.0,5.0,1.0
2080,2.5,1.1,4.0,4.9,3.0,1.0
1009,2.5,1.2,3.0,1.0,1.0,1.0
819,4.0,4.0,4.0,4.1,9.0,1.0
69,2.8,3.0,4.0,3.0,3.0,1.0
1990,3.6,2.9,4.0,4.1,6.0,1.0
2029,3.0,3.0,4.0,4.0,4.0,1.0
16420,4.2,4.1,3.0,5.0,9.0,1.0
6857,2.9,3.0,4.0,2.1,3.0,1.0
786,3.8,4.0,4.0,2.1,9.0,1.0
3444,4.6,5.0,4.0,3.9,7.0,1.0
3194,3.2,4.0,4.0,4.0,,1.0
329,3.6,4.1,3.9,5.0,9.0,3.0
